Quintile,Quintile Rank,Monthly Groceries ($),Monthly Total Eating Out ($),Monthly Restaurants & Cafes ($),Monthly Restaurants Only ($),Monthly Cafes ($),Monthly Fast Food ($),Monthly Hawker/Food Courts ($),Annual Total Eating Out ($),Annual Restaurants Only ($)
Overall Average,0,455.9,965.7,403.4,319.9,53.5,58.4,491.4,11588,3839
1st-20th (Lowest),1,349.8,516.9,126.0,99.5,18.7,37.8,348.4,6203,1194
21st-40th,2,449.3,769.5,194.9,148.8,29.8,63.1,506.0,9234,1786
41st-60th,3,482.6,1017.4,365.1,280.8,54.0,68.8,570.0,12209,3370
61st-80th,4,505.7,1148.8,504.6,400.6,67.8,67.6,563.4,13786,4807
81st-100th (Highest),5,492.1,1376.1,826.4,669.8,96.9,54.9,469.3,16513,8038
