restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade,avg_sentiment,total_reviews,is_michelin,michelin_award
ye olde cow – kidzania takeaway kiosk,ChIJL7oVLv0d2jER5d27YBZm-fk,1,1,,1.2515984,103.8202485,the olde cuban 1 pte ltd,A,0.1901,1,FALSE,
burger institute,ChIJD5OVVgAd2jER-oYECN6QaSQ,3.7,15,,1.2517513,103.8202065,burger king singapore pte. ltd.,A,0.28728,5,FALSE,
sol & ora,ChIJW18JkhYb2jERNYFzp06llDE,4.5,592,,1.251754,103.8197205,ora jonathan sanchez,A,0.95636,5,FALSE,
old chang kee,ChIJm_dqhAAc2jERemR8KGKzpXo,3.9,52,1,1.251746,103.81854,chang cheng food & beverage pte. ltd.,A,0.126987059,85,FALSE,
tunglok heen,ChIJ-U7uY1QZ2jERf45kiagXJV0,4.7,1104,3,1.2550122,103.8201681,,Unknown,0.97714,5,TRUE,Selected Restaurants
verve bar + grill,ChIJSVIHtwcf2jERVG-X_1AbMxM,4.8,69,,1.2517312,103.8221016,26@marina bar & bistro pte ltd,B,0.97918,5,FALSE,
beach noodle house,ChIJV2fLKQAd2jERAIvybAtan2A,3,1,,1.2517015,103.817255,yu kee duck and noodle house pte. ltd.,A,0,1,FALSE,
tacos＆warps,ChIJzz4ncAAd2jER6LO9LdFazzo,3.3,3,,1.2516367,103.8169661,papi's tacos pte. ltd.,A,-0.0537,3,FALSE,
western delights,ChIJIS4MMQAd2jERF58zG3AWEpk,5,1,,1.2516847,103.817131,formosa delights pte ltd,A,0.9523,1,FALSE,
masala wala,ChIJ1WdvNHod2jER0V_X9HTncAQ,2,3,,1.2517075,103.8172224,the masala hut private limited,A,-0.124466667,3,FALSE,
siloso chicken rice,ChIJi0aPawAd2jERKbDIy_crPJw,,,,1.2517127,103.8172419,texas chicken restaurant pte. ltd.,A,0,,FALSE,
yue lounge — sentosa’s nature-inspired bar & live entertainment,ChIJO7b_Xq4Z2jER4Dt3bfXcht4,4.7,14,,1.252074,103.822227,seafood paradise (s) pte. ltd.,A,0.90374,5,FALSE,
minsuizen raku sentosa 明水然・楽 (free parking),ChIJi8C25zsZ2jER2gQCn7y0jCY,4.8,33,,1.2519215,103.8230264,sentosa golf club,A,0.96966,5,FALSE,
shake shack sentosa,ChIJK3NXs0ob2jERcwKu0HaZass,4.1,261,,1.2520666,103.8175724,resorts world at sentosa pte. ltd.,A,0.44208,5,FALSE,
sentosa grillfest,ChIJV-21oQAc2jERD-eMsuLIVGs,4.3,32,,1.2518702,103.8166115,resorts world at sentosa pte. ltd.,A,0.89634,5,FALSE,
yue private dining,ChIJ5eSpZeAZ2jEREuppWPqE0nE,4.7,249,,1.2523457,103.8218133,ycp dining singapore pte. ltd.,A,0.97132,5,FALSE,
taco pau sentosa,ChIJWwVty2Qb2jERuJNPBJ7fO74,2.5,8,,1.2520535,103.816374,resorts world at sentosa pte. ltd.,A,0.12092,5,FALSE,
charcoal pit - sentosa,ChIJz0aKuDob2jER1ur-fr1cTA8,4,1,,1.2520535,103.816374,resorts world at sentosa pte. ltd.,A,0,0,FALSE,
le faubourg,ChIJozAd4eEb2jERkA7-7FffCxY,4.5,380,,1.2526575,103.8208749,jia jia le cuisine f & b pte. ltd.,A,0.88376,5,FALSE,
native kitchen - asian cuisine/local favourites @ sentosa,ChIJf7JfE68b2jERfkjctooUmCA,4.6,669,,1.2528069,103.8203696,kitchen language pte. ltd.,A,0.9799,5,FALSE,
quentin’s bar and restaurant,ChIJR8qLTngb2jERncHT3pQir5o,4.4,193,,1.2528382,103.8207408,imperial treasure fine dining restaurant pte. ltd.,A,0.97622,5,FALSE,
royal taj @ village hotel,ChIJt7XjpoMb2jERHu6tRHI8Ap8,4.7,841,,1.2528382,103.8207408,royal pavilion hospitality consultancy pte. ltd.,A,0.79604,5,FALSE,
ficus cafe by chef syed,ChIJmWpBYNMf2jERU3_E7oV_Enc,4.1,16,,1.2504277,103.827573,lucky cafe & restaurant private limited,B,0.43084,5,FALSE,
mess hall at sentosa,ChIJ92lY7YUb2jERMCfx7QZOnr4,4.6,45,,1.2529085,103.8205871,sun at food singapore pte. ltd.,A,0.43594,5,FALSE,
miska cafe,ChIJX9pR0bUe2jERJRzgcJSiH0M,4.1,446,,1.2472309,103.8422985,bru cafe pte. ltd.,A,0.97556,5,FALSE,
wok°15 kitchen,ChIJfRsaqLYe2jERoKBUK2tvw8Q,4.7,867,,1.2458306,103.8398907,kitchen language pte. ltd.,A,0.91044,5,FALSE,
the kitchen table,ChIJFQjWe7Ye2jERp81YJMFE3vE,4.3,488,,1.2461106,103.8424732,the exchange asia square pte ltd,A,0.731,5,FALSE,
skirt restaurant,ChIJFQjWe7Ye2jER-Q54GE9iyqs,4.4,633,4,1.2461984,103.8423677,texas chicken restaurant pte. ltd.,A,0.97746,5,FALSE,
boaters bar,ChIJJbOpwbYe2jER2sJeFxLOV9A,4.6,219,,1.2469733,103.8404733,j c tapas bar pte. ltd.,A,0.93504,5,FALSE,
solepomodoro trattoria pizzeria,ChIJZe4WxL4Z2jERwk67e5M7K2s,4,445,,1.2467086,103.8421109,,Unknown,0.5814,5,FALSE,
two chefs bar,ChIJyZWB1rUe2jERntFa-iAPgm4,4.3,385,,1.246958,103.8421961,two chefs bar pte ltd,Unknown,0.97808,5,FALSE,
greenwood fish market | seafood restaurant & market in sentosa,ChIJw4tLzbUe2jERvRFvI6krOhY,4.2,2782,,1.2477209,103.8419157,seafood paradise (s) pte. ltd.,A,0.83194,5,FALSE,
quayside isle,ChIJ01fgzLUe2jERxlhvImcbZ7g,4.4,963,,1.2476808,103.8420723,the quayside group pte. ltd.,A,0.86388,5,FALSE,
woobar,ChIJFQjWe7Ye2jERu8giPGXlWa4,4.2,329,3,1.2461106,103.8424732,,Unknown,0.9722,5,FALSE,
maa janki rasoi singapore,ChIJBVSgEwAf2jER_znZ3g6KVW4,,,,1.2440362,103.8427331,nutrition depot singapore private limited,A,0,,FALSE,
latitude restaurant & terrace (one°15 marina members only),ChIJQUHLtbYe2jER2Mhu3PXf1cA,4.3,130,,1.2456358,103.8399005,marina bay sands pte. ltd.,A,0.72222,5,FALSE,
blue lotus singapore (chinese eating house),ChIJIchqf7Ye2jERQcR7gSmdVjA,4.3,266,,1.246831,103.8421169,mos foods singapore pte. ltd.,A,0.55822,5,FALSE,
gin khao bistro,ChIJ-RPjNLQe2jERA1utzj7rV3I,4.6,1267,,1.2468982,103.8421771,26@marina bar & bistro pte ltd,B,0.9682,5,FALSE,
"little farms table, sentosa (restaurant)",ChIJ756pFwsf2jERSX3p6a-SwwI,4.7,181,,1.2472748,103.8399516,mouth restaurant pte ltd,A,0.96458,5,FALSE,
mykonos on the bay,ChIJG7G_SbQe2jER-JTj3hW4Q80,4.4,683,,1.247028,103.8422206,the exchange asia square pte ltd,A,0.87968,5,FALSE,
common man coffee roasters - quayside isle,ChIJsd_IuI8f2jER_5PfLUtb384,4.5,202,,1.2471056,103.8422382,loh brothers coffee pte. ltd.,A,0.52794,5,FALSE,
shaan north indian restaurant,ChIJjf0e-rMf2jERh_tGEBLxdjQ,4.5,181,,1.2471122,103.8422318,imperial treasure fine dining restaurant pte. ltd.,A,0.9022,5,FALSE,
rock bar burger & steakhouse,ChIJs9zrSIEZ2jERPFV8lMbgNPk,4.1,322,,1.2474301,103.8422111,barosa bar pte ltd,A,0.87728,5,FALSE,
artizan concepts international pte. ltd.,ChIJz3xiNLQe2jERmXQQn6UpxYM,,,,1.2479283,103.8417309,artizan concepts international pte ltd,A,0,,FALSE,
lallee,ChIJ_8Qei3Qf2jER5Ocq0IiOk6M,4,1,,1.2499756,103.844453,,Unknown,0,0,FALSE,
instachef at sentosa development corporation @ discovery den (restricted access),ChIJBd_OeHsf2jERtd4IGRosR90,,,,1.250826,103.827572,sentosa development corporation,Unknown,0,,FALSE,
sonar bangla restaurant,ChIJt6yCO_sH2jERioN6ymS_vkc,3,2,,1.270825,103.6275328,misaki japanese restaurant pte. ltd.,A,0.24635,1,FALSE,
al-rich indian muslim food,ChIJ0aRX8W8H2jERsL262Lo9BHk,2.5,4,,1.272028,103.6333707,aston food & beverage specialties pte ltd,A,0.201175,3,FALSE,
instachef at arlanxeo (jurong island),ChIJXVPeZB4F2jERT0QtzZq5wBs,4,3,,1.2663394,103.6671702,sf (jurong) pte. ltd.,A,0,1,FALSE,
staff cafeteria @ jurong island highway,ChIJo9Mhko0E2jERWutaWT6kams,,,,1.2680014,103.6933575,sf (jurong) pte. ltd.,A,0,,FALSE,
kjm curry house & restaurant,ChIJDeLY65UE2jERLYIiZj1snS4,3.3,16,,1.2673385,103.704543,kjm curry house & restaurant pte. ltd.,B,-0.09076,5,FALSE,
pasir panjang terminal 5 canteen,ChIJKSnlY5ob2jERYrd3VyCJCuA,3.7,290,,1.2636803,103.7858003,coi 5 pte. ltd.,A,0.32426,5,FALSE,
源成菜头粿 yuan cheng fried carrot cake,ChIJ82mn4sIb2jERivrtL3P0XBM,4.4,131,1,1.2732914,103.8077174,loy kok cheng,B,0.90914,5,FALSE,
himawari japanese restaurant,ChIJFdruaMEb2jERMCmyEfu4Tws,4.4,1258,2,1.2738884,103.8033299,mawar,A,0.97918,5,FALSE,
old chang kee,ChIJVzs5A8Eb2jERftZMTlqIYoY,2.9,62,1,1.2734473,103.8015782,chang cheng food & beverage pte. ltd.,A,0.126987059,85,FALSE,
canton paradise 樂天小香港 at arc,ChIJwz3yHMEb2jER7qb8paiVoK0,4.3,1025,2,1.2737462,103.8017541,at fresh pte. ltd.,A,0.93548,5,FALSE,
burger king alexandra retail centre,ChIJRRR4HcEb2jERWSg4wTWuvaY,3.7,592,1,1.2740465,103.8013246,kopi king pte. ltd.,A,0.775,5,FALSE,
the soup spoon,ChIJRRR4HcEb2jERicaum5b1ux4,4.5,634,2,1.2741066,103.8013291,the soup spoon pte ltd,A,0.48407,10,FALSE,
subway,ChIJq6qqusAb2jERhKUMdEzF9LI,4,122,2,1.2748242,103.8000542,subway harbourfront pte ltd,A,0.178081667,239,FALSE,
umisushi alexandra retail centre,ChIJwz3yHMEb2jERxkKMbl-4i7Y,3,68,2,1.2741227,103.8013945,perennial (singapore) retail management pte. ltd.,Unknown,0.5668,5,FALSE,
cedele - mapletree business city,ChIJvR-TrsAb2jERSP6UUOLrVyQ,3.7,80,2,1.2745422,103.8001694,s-city cafe pte ltd,B,0.08616,5,FALSE,
mcdonald's arc,ChIJuUFoBdcb2jERsu6OBBfVMQQ,4.2,2007,1,1.2745172,103.8015362,seafood paradise (s) pte. ltd.,A,0.70474,5,FALSE,
hopscotch (gillman barracks),ChIJwW2HxhIZ2jERPfuslwkUPNg,4.6,2380,2,1.2746282,103.8039026,,Unknown,0.95872,5,FALSE,
paradise restaurant,ChIJV_3I1r4b2jERXm75U0No9uo,4,400,1,1.2749216,103.795184,paradise restaurant & catering pte. ltd.,B,0.74538,5,FALSE,
harry's mapletree business city,ChIJI3jdvMAb2jERtq4a-GxN5ZU,4.5,356,2,1.2756788,103.7995597,s connexion pte ltd,A,0.93878,5,FALSE,
tangerine,ChIJIZfT4P0b2jER_PA2asrfjD4,4.3,58,,1.2583525,103.8162753,white tangerine pte. ltd.,A,0.61474,5,FALSE,
thai goldmine kitchen,ChIJl8snfcgZ2jERdeJ69mvxYoY,4.3,89,,1.2764589,103.7988665,crystal jade kitchen (s.c.) pte ltd,A,0.72374,5,FALSE,
ocean restaurant,ChIJJyodxP0b2jERvwv6K_-NPY8,4.2,767,4,1.2579753,103.8166317,texas chicken restaurant pte. ltd.,A,0.98418,5,FALSE,
naked finn,ChIJn21oVcEb2jERX59EsA15tws,4.4,697,3,1.2761698,103.8044092,naked finn private limited,A,0.96474,5,FALSE,
trapizza,ChIJ0a0WgFUZ2jERBsdGqBaO_Ds,4.2,3061,2,1.2562223,103.8120976,,Unknown,0.94334,5,FALSE,
the bay restaurant,ChIJT0qQtv0b2jER-bVlf4iazQ4,4.2,110,,1.2579102,103.8174067,the exchange asia square pte ltd,A,0.91278,5,FALSE,
ashmi restaurant,ChIJPan-Wrkb2jERK7WQNN3g9Xw,3.9,305,2,1.2761561,103.7930965,texas chicken restaurant pte. ltd.,A,0.71154,5,FALSE,
silver shell cafe,ChIJ7aFemPAb2jER2H6rCmyLrEY,4.6,1128,,1.2574494,103.8100783,hanis cafe & bakery pte. ltd.,A,0.96544,5,FALSE,
8 noodles,ChIJtQc9mfAb2jERX7PXCU9yfX4,3.9,30,,1.2573914,103.8103358,the noodles pte. ltd.,A,0.38766,5,FALSE,
hillman 99 restaurant (west coast),ChIJp3Xzzb4b2jER-VtJo_5e5fI,4.1,637,2,1.2750237,103.7949379,foc restaurant pte ltd,A,0.60878,5,FALSE,
co+nut+ink,ChIJ9dcmXNMd2jERX0wRDfTR49Q,3.7,151,,1.2572572,103.8112563,co nut ink pte. ltd.,B,0.15686,5,FALSE,
market hall sentosa,ChIJDVzJDXsb2jER23CKZ7dXL2Q,4.3,86,,1.258124,103.811537,yue shin siang medical hall pte ltd,Unknown,0.59844,5,FALSE,
hankang pocha express,ChIJ1Tq9LQAb2jERtmXwPmdejkw,5,2,,1.271683,103.8011002,srisun express restaurant pte. ltd.,Unknown,0.7781,2,FALSE,
lao ban niang mixed rice,ChIJY_r1agAb2jERmtKPZnsSW1k,2,3,,1.2717295,103.8012524,lau di fang scissors-cut curry rice pte. ltd.,A,0.135666667,3,FALSE,
indian muslim food,ChIJEY27wcEb2jERcLr367co70Y,,,,1.2717449,103.802537,ho heng food & enterprise pte. ltd.,A,0,,FALSE,
pearl hill garden restaurant,ChIJBxcAf-IZ2jERpPV_h8SXdXk,4.2,286,,1.2718599,103.8023731,imperial treasure fine dining restaurant pte. ltd.,A,0.81332,5,FALSE,
uncle ho's bistro,ChIJA7Rh1Lgb2jEReaqZmjxEtxM,4.2,772,2,1.2720917,103.8012666,seafood paradise (s) pte. ltd.,A,0.90424,5,FALSE,
the autobus (labrador tower),ChIJ3YROGhUb2jERcn71IRWNSaw,4.8,109,,1.2721034,103.8015667,gardens by the bay,A,0.84422,5,FALSE,
la torre by monti,ChIJT9xtJf0b2jERPiU62TbhKDM,4.2,106,,1.272136,103.8018158,la storia di cheryl pte ltd (gelatissimo),A,0.96694,5,FALSE,
prata alley,ChIJBT4RfwAb2jER_Z0wUIFV3DA,5,2,,1.2721447,103.8018967,prata alley pte ltd,A,0.6986,2,FALSE,
mee first 吃面先,ChIJSfHGVAAb2jER3HS-2eIm5hU,4.7,9,,1.2721447,103.8018967,qiu lian ban mee pte ltd,B,0.49838,5,FALSE,
nasi lemak ayam taliwang,ChIJEZR5VgAb2jER6Dfa2Ke4tbg,4.2,13,,1.2721447,103.8018967,yanti nasi padang restaurant pte ltd,B,0.55794,5,TRUE,Selected Restaurants
king grouper fish soup,ChIJ87idLAAb2jER0CnStvqNluY,3,1,,1.2721447,103.8018967,soup restaurant singapore pte. ltd.,A,-0.3556,1,FALSE,
mr eggs@ labrador tower,ChIJRTHCVgAb2jERC2DWHmWNqBE,3.8,4,,1.2721447,103.8018967,mr bap pte. ltd.,A,0.2861,3,FALSE,
淮南牛肉汤 huai nan beef soup (labrador tower),ChIJC-fLcKkb2jERjfU0NmFYB2I,,,,1.2721447,103.8018967,the soup spoon pte ltd,A,0,,FALSE,
1-alfaro,ChIJi7lBYwAb2jER16bK10MOME8,4.5,488,,1.2722724,103.8010839,1-soleil pte. ltd.,A,0.97544,5,FALSE,
get some @ labrador | singapore's best craft beers,ChIJER7DMgAb2jERFKMM23yw8SA,4.8,57,,1.2723188,103.8013908,seafood paradise (s) pte. ltd.,A,0.83342,5,FALSE,
instachef at sp group @ pasir panjang (restricted access),ChIJD__aUfAb2jERy7XndoNceHo,,,,1.2724319,103.799736,royal t group pte. ltd.,A,0,,FALSE,
sum kee food (telok blangah),ChIJBbroTsIb2jEROr9uxsKYr5U,4.3,1829,2,1.2724179,103.8063851,quik food pte. ltd.,B,0,,FALSE,
