restaurant_name,hygiene_grade,latitude,longitude
imech pte. ltd.,A,1.27737236043423,103.852844804264
mlab holdings pte. ltd.,,1.27737236043423,103.852844804264
hockhua - eng heng trading pte. ltd.,A,1.27737236043423,103.852844804264
kitchen language pte. ltd.,A,1.27790634626008,103.85285165874
bettr barista pte. ltd.,A,1.27709869171392,103.852332938952
mix concoction pte. ltd.,A,1.28071924044437,103.85600467745
sri sivanandhaya namaha pte. ltd.,B,1.27004493349739,103.857323948036
seaworld cafeteria pte. ltd.,A,1.26618275395656,103.860462972991
seah siew eng,B,1.28088411477952,103.869885272487
texas chicken restaurant pte. ltd.,A,1.28130189968886,103.86115492566
gabriel santhosh cyril,B,1.28130189968886,103.86115492566
hats off pte. ltd.,A,1.28130189968886,103.86115492566
hill street coffee shop pte. ltd.,A,1.28130189968886,103.86115492566
j c tapas bar pte. ltd.,A,1.28130189968886,103.86115492566
majestic seafood pte. ltd.,A,1.28130189968886,103.86115492566
gardens by the bay,A,1.28130189968886,103.86115492566
gardens by the bay,A,1.28130189968886,103.86115492566
makan by the bay pte ltd,B,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,NA,1.28130189968886,103.86115492566
satay by the bay pte. ltd.,B,1.28130189968886,103.86115492566
marina live seafood & steamboat pte ltd,B,1.28130189968886,103.86115492566
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,NA,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,NA,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,A,1.28258337118494,103.860220227322
marina bay sands pte. ltd.,NA,1.28258337118494,103.860220227322
