restaurant_name,name,award,price,cuisine,latitude,longitude
nae:um,Nae:um,1 Star,$$$,Korean Contemporary,1.28033,103.84755
lei garden,Lei Garden,1 Star,$$,Cantonese,1.29538,103.85162
ingleside,Ingleside,Selected Restaurants,$$,European Contemporary,1.2782014,103.8446191
station by kotuwa,Station by Kotuwa,Selected Restaurants,$$,Sri Lankan,1.2812755,103.8485355
les ducs,Les Ducs,Selected Restaurants,$$,French,1.2816591,103.8454053
magpie,Magpie,Selected Restaurants,$$,Contemporary,1.2849632,103.8332262
hayop,Hayop,Selected Restaurants,$$,"Filipino, Contemporary",1.2817671,103.8474694
belimbing,Belimbing,Selected Restaurants,$$,"Innovative, Singaporean",1.3008122,103.8601196
dill,Dill,Selected Restaurants,$$,Scandinavian,1.2790267,103.8434029
jin ting wan,Jin Ting Wan,Selected Restaurants,$$$$,Cantonese,1.2823222,103.858496
gaston,Gaston,Selected Restaurants,$$,French,1.2798386,103.8414273
rajarani thosai,Rajarani Thosai,Selected Restaurants,$,Street Food,1.3454596,103.9445598
yi pin wei braised duck．kway chap,Yi Pin Wei Braised Duck．Kway Chap,Selected Restaurants,$,Street Food,1.3454935,103.944715
yummy sarawak kolo mee,Yummy Sarawak Kolo Mee,Selected Restaurants,$,Street Food,1.345531,103.9447526
