restaurant_name,place_id,rating,review_count,price_level,latitude,longitude,matched_sfa_name,hygiene_grade
tacos＆warps,ChIJzz4ncAAd2jER6LO9LdFazzo,3.3,3.0,,1.2516367,103.8169661,papi's tacos pte. ltd.,A
western delights,ChIJIS4MMQAd2jERF58zG3AWEpk,5.0,1.0,,1.2516847,103.817131,formosa delights pte ltd,A
masala wala,ChIJ1WdvNHod2jER0V_X9HTncAQ,2.0,3.0,,1.2517075,103.8172224,the masala hut private limited,A
siloso chicken rice,ChIJi0aPawAd2jERKbDIy_crPJw,,,,1.2517127,103.8172419,texas chicken restaurant pte. ltd.,A
yue lounge — sentosa’s nature-inspired bar & live entertainment,ChIJO7b_Xq4Z2jER4Dt3bfXcht4,4.7,14.0,,1.252074,103.822227,seafood paradise (s) pte. ltd.,A
minsuizen raku sentosa 明水然・楽 (free parking),ChIJi8C25zsZ2jER2gQCn7y0jCY,4.8,33.0,,1.2519215,103.8230264,sentosa golf club,A
shake shack sentosa,ChIJK3NXs0ob2jERcwKu0HaZass,4.1,261.0,,1.2520666,103.8175724,resorts world at sentosa pte. ltd.,A
sentosa grillfest,ChIJV-21oQAc2jERD-eMsuLIVGs,4.3,32.0,,1.2518702,103.8166115,resorts world at sentosa pte. ltd.,A
yue private dining,ChIJ5eSpZeAZ2jEREuppWPqE0nE,4.7,249.0,,1.2523457,103.8218133,ycp dining singapore pte. ltd.,A
taco pau sentosa,ChIJWwVty2Qb2jERuJNPBJ7fO74,2.5,8.0,,1.2520535,103.816374,resorts world at sentosa pte. ltd.,A
charcoal pit - sentosa,ChIJz0aKuDob2jER1ur-fr1cTA8,4.0,1.0,,1.2520535,103.816374,resorts world at sentosa pte. ltd.,A
le faubourg,ChIJozAd4eEb2jERkA7-7FffCxY,4.5,380.0,,1.2526575,103.8208749,jia jia le cuisine f & b pte. ltd.,A
native kitchen - asian cuisine/local favourites @ sentosa,ChIJf7JfE68b2jERfkjctooUmCA,4.6,669.0,,1.2528069,103.8203696,kitchen language pte. ltd.,A
quentin’s bar and restaurant,ChIJR8qLTngb2jERncHT3pQir5o,4.4,193.0,,1.2528382,103.8207408,imperial treasure fine dining restaurant pte. ltd.,A
royal taj @ village hotel,ChIJt7XjpoMb2jERHu6tRHI8Ap8,4.7,841.0,,1.2528382,103.8207408,royal pavilion hospitality consultancy pte. ltd.,A
ficus cafe by chef syed,ChIJmWpBYNMf2jERU3_E7oV_Enc,4.1,16.0,,1.2504277,103.827573,lucky cafe & restaurant private limited,B
mess hall at sentosa,ChIJ92lY7YUb2jERMCfx7QZOnr4,4.6,45.0,,1.2529085,103.8205871,sun at food singapore pte. ltd.,A
miska cafe,ChIJX9pR0bUe2jERJRzgcJSiH0M,4.1,446.0,,1.2472309,103.8422985,bru cafe pte. ltd.,A
wok°15 kitchen,ChIJfRsaqLYe2jERoKBUK2tvw8Q,4.7,867.0,,1.2458306,103.8398907,kitchen language pte. ltd.,A
the kitchen table,ChIJFQjWe7Ye2jERp81YJMFE3vE,4.3,488.0,,1.2461106,103.8424732,the exchange asia square pte ltd,A
skirt restaurant,ChIJFQjWe7Ye2jER-Q54GE9iyqs,4.4,633.0,4.0,1.2461984,103.8423677,texas chicken restaurant pte. ltd.,A
boaters bar,ChIJJbOpwbYe2jER2sJeFxLOV9A,4.6,219.0,,1.2469733,103.8404733,j c tapas bar pte. ltd.,A
solepomodoro trattoria pizzeria,ChIJZe4WxL4Z2jERwk67e5M7K2s,4.0,445.0,,1.2467086,103.8421109,,
two chefs bar,ChIJyZWB1rUe2jERntFa-iAPgm4,4.3,385.0,,1.246958,103.8421961,two chefs bar pte ltd,
greenwood fish market | seafood restaurant & market in sentosa,ChIJw4tLzbUe2jERvRFvI6krOhY,4.2,2782.0,,1.2477209,103.8419157,seafood paradise (s) pte. ltd.,A
quayside isle,ChIJ01fgzLUe2jERxlhvImcbZ7g,4.4,963.0,,1.2476808,103.8420723,the quayside group pte. ltd.,A
woobar,ChIJFQjWe7Ye2jERu8giPGXlWa4,4.2,329.0,3.0,1.2461106,103.8424732,,
maa janki rasoi singapore,ChIJBVSgEwAf2jER_znZ3g6KVW4,,,,1.2440362,103.8427331,nutrition depot singapore private limited,A
latitude restaurant & terrace (one°15 marina members only),ChIJQUHLtbYe2jER2Mhu3PXf1cA,4.3,130.0,,1.2456358,103.8399005,marina bay sands pte. ltd.,A
blue lotus singapore (chinese eating house),ChIJIchqf7Ye2jERQcR7gSmdVjA,4.3,266.0,,1.246831,103.8421169,mos foods singapore pte. ltd.,A
gin khao bistro,ChIJ-RPjNLQe2jERA1utzj7rV3I,4.6,1267.0,,1.2468982,103.8421771,26@marina bar & bistro pte ltd,B
"little farms table, sentosa (restaurant)",ChIJ756pFwsf2jERSX3p6a-SwwI,4.7,181.0,,1.2472748,103.8399516,mouth restaurant pte ltd,A
mykonos on the bay,ChIJG7G_SbQe2jER-JTj3hW4Q80,4.4,683.0,,1.247028,103.8422206,the exchange asia square pte ltd,A
common man coffee roasters - quayside isle,ChIJsd_IuI8f2jER_5PfLUtb384,4.5,202.0,,1.2471056,103.8422382,loh brothers coffee pte. ltd.,A
shaan north indian restaurant,ChIJjf0e-rMf2jERh_tGEBLxdjQ,4.5,181.0,,1.2471122,103.8422318,imperial treasure fine dining restaurant pte. ltd.,A
rock bar burger & steakhouse,ChIJs9zrSIEZ2jERPFV8lMbgNPk,4.1,322.0,,1.2474301,103.8422111,barosa bar pte ltd,A
artizan concepts international pte. ltd.,ChIJz3xiNLQe2jERmXQQn6UpxYM,,,,1.2479283,103.8417309,artizan concepts international pte ltd,A
lallee,ChIJ_8Qei3Qf2jER5Ocq0IiOk6M,4.0,1.0,,1.2499756,103.844453,,
instachef at sentosa development corporation @ discovery den (restricted access),ChIJBd_OeHsf2jERtd4IGRosR90,,,,1.250826,103.827572,sentosa development corporation,
sonar bangla restaurant,ChIJt6yCO_sH2jERioN6ymS_vkc,3.0,2.0,,1.270825,103.6275328,misaki japanese restaurant pte. ltd.,A
al-rich indian muslim food,ChIJ0aRX8W8H2jERsL262Lo9BHk,2.5,4.0,,1.272028,103.6333707,aston food & beverage specialties pte ltd,A
instachef at arlanxeo (jurong island),ChIJXVPeZB4F2jERT0QtzZq5wBs,4.0,3.0,,1.2663394,103.6671702,sf (jurong) pte. ltd.,A
staff cafeteria @ jurong island highway,ChIJo9Mhko0E2jERWutaWT6kams,,,,1.2680014,103.6933575,sf (jurong) pte. ltd.,A
kjm curry house & restaurant,ChIJDeLY65UE2jERLYIiZj1snS4,3.3,16.0,,1.2673385,103.704543,kjm curry house & restaurant pte. ltd.,B
pasir panjang terminal 5 canteen,ChIJKSnlY5ob2jERYrd3VyCJCuA,3.7,290.0,,1.2636803,103.7858003,coi 5 pte. ltd.,A
源成菜头粿 yuan cheng fried carrot cake,ChIJ82mn4sIb2jERivrtL3P0XBM,4.4,131.0,1.0,1.2732914,103.8077174,loy kok cheng,B
himawari japanese restaurant,ChIJFdruaMEb2jERMCmyEfu4Tws,4.4,1258.0,2.0,1.2738884,103.8033299,mawar,A
old chang kee,ChIJVzs5A8Eb2jERftZMTlqIYoY,2.9,62.0,1.0,1.2734473,103.8015782,chang cheng food & beverage pte. ltd.,A
canton paradise 樂天小香港 at arc,ChIJwz3yHMEb2jER7qb8paiVoK0,4.3,1025.0,2.0,1.2737462,103.8017541,at fresh pte. ltd.,A
burger king alexandra retail centre,ChIJRRR4HcEb2jERWSg4wTWuvaY,3.7,592.0,1.0,1.2740465,103.8013246,kopi king pte. ltd.,A
the soup spoon,ChIJRRR4HcEb2jERicaum5b1ux4,4.5,634.0,2.0,1.2741066,103.8013291,the soup spoon pte ltd,A
subway,ChIJq6qqusAb2jERhKUMdEzF9LI,4.0,122.0,2.0,1.2748242,103.8000542,subway harbourfront pte ltd,A
umisushi alexandra retail centre,ChIJwz3yHMEb2jERxkKMbl-4i7Y,3.0,68.0,2.0,1.2741227,103.8013945,perennial (singapore) retail management pte. ltd.,
cedele - mapletree business city,ChIJvR-TrsAb2jERSP6UUOLrVyQ,3.7,80.0,2.0,1.2745422,103.8001694,s-city cafe pte ltd,B
mcdonald's arc,ChIJuUFoBdcb2jERsu6OBBfVMQQ,4.2,2007.0,1.0,1.2745172,103.8015362,seafood paradise (s) pte. ltd.,A
hopscotch (gillman barracks),ChIJwW2HxhIZ2jERPfuslwkUPNg,4.6,2380.0,2.0,1.2746282,103.8039026,,
paradise restaurant,ChIJV_3I1r4b2jERXm75U0No9uo,4.0,400.0,1.0,1.2749216,103.795184,paradise restaurant & catering pte. ltd.,B
harry's mapletree business city,ChIJI3jdvMAb2jERtq4a-GxN5ZU,4.5,356.0,2.0,1.2756788,103.7995597,s connexion pte ltd,A
tangerine,ChIJIZfT4P0b2jER_PA2asrfjD4,4.3,58.0,,1.2583525,103.8162753,white tangerine pte. ltd.,A
thai goldmine kitchen,ChIJl8snfcgZ2jERdeJ69mvxYoY,4.3,89.0,,1.2764589,103.7988665,crystal jade kitchen (s.c.) pte ltd,A
ocean restaurant,ChIJJyodxP0b2jERvwv6K_-NPY8,4.2,767.0,4.0,1.2579753,103.8166317,texas chicken restaurant pte. ltd.,A
naked finn,ChIJn21oVcEb2jERX59EsA15tws,4.4,697.0,3.0,1.2761698,103.8044092,naked finn private limited,A
trapizza,ChIJ0a0WgFUZ2jERBsdGqBaO_Ds,4.2,3061.0,2.0,1.2562223,103.8120976,,
the bay restaurant,ChIJT0qQtv0b2jER-bVlf4iazQ4,4.2,110.0,,1.2579102,103.8174067,the exchange asia square pte ltd,A
ashmi restaurant,ChIJPan-Wrkb2jERK7WQNN3g9Xw,3.9,305.0,2.0,1.2761561,103.7930965,texas chicken restaurant pte. ltd.,A
silver shell cafe,ChIJ7aFemPAb2jER2H6rCmyLrEY,4.6,1128.0,,1.2574494,103.8100783,hanis cafe & bakery pte. ltd.,A
8 noodles,ChIJtQc9mfAb2jERX7PXCU9yfX4,3.9,30.0,,1.2573914,103.8103358,the noodles pte. ltd.,A
hillman 99 restaurant (west coast),ChIJp3Xzzb4b2jER-VtJo_5e5fI,4.1,637.0,2.0,1.2750237,103.7949379,foc restaurant pte ltd,A
co+nut+ink,ChIJ9dcmXNMd2jERX0wRDfTR49Q,3.7,151.0,,1.2572572,103.8112563,co nut ink pte. ltd.,B
market hall sentosa,ChIJDVzJDXsb2jER23CKZ7dXL2Q,4.3,86.0,,1.258124,103.811537,yue shin siang medical hall pte ltd,
hankang pocha express,ChIJ1Tq9LQAb2jERtmXwPmdejkw,5.0,2.0,,1.271683,103.8011002,srisun express restaurant pte. ltd.,
lao ban niang mixed rice,ChIJY_r1agAb2jERmtKPZnsSW1k,2.0,3.0,,1.2717295,103.8012524,lau di fang scissors-cut curry rice pte. ltd.,A
indian muslim food,ChIJEY27wcEb2jERcLr367co70Y,,,,1.2717449,103.802537,ho heng food & enterprise pte. ltd.,A
pearl hill garden restaurant,ChIJBxcAf-IZ2jERpPV_h8SXdXk,4.2,286.0,,1.2718599,103.8023731,imperial treasure fine dining restaurant pte. ltd.,A
uncle ho's bistro,ChIJA7Rh1Lgb2jEReaqZmjxEtxM,4.2,772.0,2.0,1.2720917,103.8012666,seafood paradise (s) pte. ltd.,A
the autobus (labrador tower),ChIJ3YROGhUb2jERcn71IRWNSaw,4.8,109.0,,1.2721034,103.8015667,gardens by the bay,A
la torre by monti,ChIJT9xtJf0b2jERPiU62TbhKDM,4.2,106.0,,1.272136,103.8018158,la storia di cheryl pte ltd (gelatissimo),A
prata alley,ChIJBT4RfwAb2jER_Z0wUIFV3DA,5.0,2.0,,1.2721447,103.8018967,prata alley pte ltd,A
mee first 吃面先,ChIJSfHGVAAb2jER3HS-2eIm5hU,4.7,9.0,,1.2721447,103.8018967,qiu lian ban mee pte ltd,B
